#bin	chrom	chromStart	chromEnd	ix	type	frag	fragStart	fragEnd	strand
0	chr1	67106227	67121100	4260	W	AAFC02096334.1	0	14873	-
0	chr1	134173568	134221790	8396	W	AAFC03012709.1	0	48222	-
1	chr1	8380911	8491539	442	W	AAFC03025735.1	27891	138519	-
1	chr1	16770692	16781778	901	W	AAFC03045542.1	0	11086	-
1	chr1	25123176	25236828	1452	W	AAFC03002454.1	0	113652	+
1	chr1	33532442	33642299	2178	W	AAFC03036526.1	0	109857	+
1	chr1	50312727	50428354	3241	W	AAFC03059105.1	0	115627	+
1	chr1	58704953	58734054	3756	W	AAFC03031845.1	0	29101	-
2	chr1	75487029	75502971	4722	W	AAFC03044354.1	0	15942	-
2	chr1	83769072	83894396	5132	W	AAFC03018249.1	0	125324	-
2	chr1	92270337	92277832	5623	W	AAFC03102369.1	321	7816	+
2	chr1	100612714	100675367	6097	W	AAFC03024756.1	34160	96813	+
2	chr1	109030125	109087150	6675	W	AAFC03093025.1	0	57025	-
2	chr1	125820367	125893926	7828	W	AAFC03012423.1	33289	106848	+
3	chr1	150935028	151016332	9550	W	AAFC03088489.1	20414	101718	-
3	chr1	159377981	159424684	10106	W	AAFC03011204.1	0	46703	+
9	chr1	1027914	1194055	34	W	AAFC03026657.1	1478	167619	-
9	chr1	2044864	2099964	42	W	AAFC03014621.1	53517	108617	-
9	chr1	3134579	3147629	114	W	AAFC02022513.1	0	13050	+
9	chr1	4174332	4285970	193	W	AAFC03027545.1	0	111638	-
9	chr1	5242533	5305316	275	W	AAFC03057036.1	10544	73327	-
9	chr1	6280386	6308352	337	W	AAFC02031220.1	54301	82267	-
9	chr1	7336717	7361638	388	W	AAFC03004798.1	0	24921	+
10	chr1	9385503	9439832	509	W	AAFC03005832.1	0	54329	+
10	chr1	10483495	10489136	553	W	AAFC02076899.1	0	5641	+
10	chr1	11521802	11581351	608	W	AAFC03055748.1	0	59549	-
10	chr1	13613372	13633605	700	W	AAFC02098244.1	0	20233	+
10	chr1	14669938	14690940	759	W	AAFC03002496.1	0	21002	+
10	chr1	15717671	15740049	827	W	AAFC02028236.1	0	22378	+
11	chr1	17809218	17926331	992	W	AAFC03075057.1	0	117113	-
11	chr1	18866807	18926443	1060	W	AAFC03021918.1	0	59636	-
11	chr1	19880081	19947431	1117	W	AAFC03011189.1	3641	70991	-
11	chr1	20957912	21025275	1175	W	AAFC03092318.1	0	67363	+
11	chr1	22014649	22032904	1229	W	AAFC03075687.1	0	18255	-
11	chr1	23041462	23098374	1304	W	AAFC03088912.1	0	56912	+
11	chr1	24095170	24142122	1374	W	AAFC03000002.1	10235	57187	+
12	chr1	27260751	27266412	1616	W	AAFC03122155.1	29357	35018	-
12	chr1	28290012	28367083	1707	W	AAFC03024615.1	0	77071	+
12	chr1	29358113	29366351	1817	W	AAFC03011393.1	23687	31925	-
12	chr1	32470193	32623040	2117	W	AAFC03025833.1	0	152847	+
13	chr1	34578088	34666387	2233	W	AAFC03091117.1	362	88661	-
13	chr1	35634409	35686989	2309	W	AAFC02005612.1	0	52580	-
13	chr1	36691522	36721380	2390	W	AAFC03118450.1	0	29858	+
13	chr1	37748459	37758310	2448	W	AAFC03064208.1	0	9851	-
13	chr1	38775237	38801168	2502	W	AAFC03088962.1	0	25931	-
13	chr1	39830548	39866082	2562	W	AAFC03093497.1	15	35549	-
13	chr1	40882130	40902562	2616	W	AAFC03084537.1	0	20432	-
14	chr1	42990800	42998437	2754	W	AAFC03083409.1	0	7637	-
14	chr1	44016425	44079381	2851	W	AAFC03038685.1	20449	83405	-
14	chr1	45072660	45097884	2925	W	AAFC02046842.1	105761	130985	-
14	chr1	46100333	46167924	2962	W	AAFC03042381.1	0	67591	-
14	chr1	47088344	47232234	3004	W	AAFC03032158.1	12304	156194	-
